,시군명,식당,식당_영문명,최후의음식,위도,경도
2502,이천시,이천쌀밥송학설성점,icheonssalbabsonghagseolseongjeom,제육볶음,37.1112639,127.5499019
2503,이천시,나들애청목,nadeul-aecheongmog,제육볶음,37.2995167,127.4085765
2504,이천시,그남자의밥상,deulmoeyagsanheug-yeomsojeonmunjeom,갈비구이,37.2546341,127.4564894
2505,이천시,강릉짬뽕순두부,gangleungjjamppongsundubu,"짜장면, 짬뽕",37.3108482,127.4015758
2506,이천시,마옥산장,maogsanjang,갈비구이,37.1644253,127.4788834
2507,이천시,임금님쌀밥집,imgeumnimssalbabjib,제육볶음,37.3062648,127.4034128
2508,이천시,김진혁식당,gimjinhyeogsigdang,주꾸미볶음,37.2789673,127.4479081
2509,이천시,관촌순두부,gwanchonsundubu,0,37.2944637,127.4184626
2510,이천시,마산아구 이천쌀밥,masan-agu icheonssalbab,0,37.2363061,127.3653018
2511,이천시,우륵갈비,uleuggalbi,갈비구이,37.3000435,127.437825
2512,이천시,원조주막칡냉면(A.B),wonjojumagchilgnaengmyeon(A.B),"물냉면, 비빔냉면",37.2810493,127.464214
2513,이천시,해송참치,haesongchamchi,0,37.2817687,127.4432901
2514,이천시,옥계촌누룽지백숙,oggyechonnulungjibaegsug,훈제오리,37.3359024,127.4869255
2515,이천시,지산가든,jisangadeun,삼겹살,37.2137242,127.3600565
2516,이천시,옛날쌀밥집,yesnalssalbabjib,제육볶음,37.3011589,127.407886
2517,이천시,고기선수,gogiseonsu,삼겹살,37.2790507,127.4448754
2518,이천시,맛 내음터,mas naeeumteo,매운탕,37.2259198,127.3703
2519,이천시,돌산가든,dolsangadeun,훈제오리,37.3256866,127.4776196
2520,이천시,치즈를사랑한찜닭,chijeuleulsalanghanjjimdalg,닭갈비,37.2788271,127.4444344
2521,이천시,이원식당,iwonsigdang,불고기,37.1809499,127.5135919
2522,이천시,안옥화음식갤러리,an-oghwa-eumsiggaelleoli,0,37.3221527,127.4233534
2523,이천시,서창산업(주) 이천(하)휴게소(한식),seochangsan-eob(ju) icheon(ha)hyugeso(hansig),0,37.2645193,127.4038004
